95,John Denver,Annies Song,0,['A' 'A7' 'Bm' 'D' 'D/C#' 'Dsus4' 'Em' 'F#m' 'G']
96,Oasis,Wonderwall,2,['A7sus4' 'C' 'Cadd9' 'D' 'Dsus' 'Dsus4' 'Em' 'Em7' 'G' 'G5' 'G5/F#']
97,Survivor,Eye Of The Tiger,0,['Ab' 'Bb' 'Cm' 'Cm7' 'Eb' 'Fm' 'G']
98,The Cure,Just Like Heaven,0,['A' 'Bm' 'D' 'E' 'F#m' 'G']
99,America,Sister Golden Hair,0,['Am' 'C' 'Csus4' 'Dm' 'Em' 'F' 'G']
100,Christina Aguilera,Beautiful,0,['Bb' 'Bm' 'C' 'D' 'Em' 'G']
101,Bing Crosby,White Christmas,0,['Am' 'C' 'Cm' 'D' 'D7' 'Em' 'G' 'G4' 'G7']
102,Queen,Bohemian Rhapsody,0,"['A' 'A7' 'Ab' 'Ab/Bb' 'Ab/Eb' 'Ab7' 'Abdim' 'Abm' 'Abmaj7' 'Adim' 'Am7b5'
 'B' 'B7' 'Baug' 'Bb' 'Bb7' 'Bbm/Db' 'Bdim7' 'Bm' 'C#dim' 'C7' 'Cm' 'Cm7'
 'D' 'D7' 'Db' 'Db/Ab' 'Db/Bb' 'Db7' 'Ddim' 'Dm7b5' 'E7' 'Eaug' 'Eb'
 'Eb/Bb' 'Eb7' 'Ebdim' 'F' 'F#7' 'F#dim' 'F7' 'Fm' 'Fm7' 'Gaug' 'Gb' 'Gb7'
 'Gm' 'Gm7']"
103,Enrique Iglesias,Hero,0,['C2' 'D' 'D/F#' 'Dsus4' 'Em' 'G' 'Gsus4']
104,John Lennon,Stand By Me,2,['C' 'D' 'Em' 'G']
105,Coldplay,The Scientist,3,['A' 'Asus2' 'Bm7' 'D' 'D7' 'Dsus2' 'Dsus2/C#' 'G']
106,Pink Floyd,Hey You,0,['Am' 'Bm' 'C' 'D' 'D7' 'Dm' 'Em' 'Emadd9' 'G']
107,Pink Floyd,Comfortably Numb,0,['A' 'Asus' 'Bm' 'Bm9' 'C' 'C9' 'Cadd9' 'D' 'Em' 'G' 'G/F#']
108,Pink Floyd,Wish You Were Here,0,['A7sus4' 'Am' 'C' 'D/F#' 'Em7' 'G']
109,Pink Floyd,Mother,0,['C' 'Cadd9' 'D' 'F' 'G']
110,Stephen Speaks,Passenger Seat,0,['A' 'B' 'C' 'D' 'Dm7' 'Dsus' 'E' 'Em' 'G']
111,Red Hot Chili Peppers,Under The Bridge,0,"['A' 'Am7' 'B' 'C' 'C#m' 'D' 'E' 'E7' 'Emaj7' 'F#' 'F#m' 'Fmaj7' 'G#m'
 'G6']"
112,Bob Marley,No Woman No Cry,0,['Am' 'C' 'F' 'G']
113,Oasis,Half The World Away,0,['Am' 'C' 'D' 'E' 'Fm' 'Fmaj' 'G' 'G7']
114,Eagles,Hotel California,2,['Am' 'C' 'D' 'Dm' 'E' 'E7' 'F' 'G']
115,U2,One,0,['Am' 'C' 'Dsus2' 'Fmaj7' 'G']
116,Nirvana,Where Did You Sleep Last Night,0,['A' 'B' 'E' 'G']
117,Coldplay,Green Eyes,0,['A' 'Bm' 'Bm7' 'D' 'E' 'G']
118,Foo Fighters,Times Like These,0,['Am' 'Am7' 'C' 'D' 'Em' 'Em7']
119,Kansas,Dust In The Wind,0,['Aadd9' 'Am' 'Asus' 'C' 'Cadd9' 'D/F#' 'Dm7' 'G']
120,Alamid,Your Love,0,['A' 'Am' 'Am7' 'B' 'C' 'D' 'D/F#' 'E' 'Em' 'Fm7' 'G' 'Gb']
121,Fugees,Killing Me Softly,0,['A' 'Am' 'Am7' 'B7' 'C' 'D' 'D7' 'E' 'Em' 'Esus4' 'G']
122,Coldplay,The Scientist,0,['A' 'Am' 'C' 'D' 'F']
123,Coldplay,Green Eyes,2,['Am' 'C' 'D' 'D/F#' 'Dsus4' 'F' 'G']
124,Radiohead,Creep,0,['C' 'E' 'F' 'Fm']
125,Oasis,Champagne Supernova,0,"['A' 'A7' 'A7sus4' 'Asus2' 'Asus2/F#' 'D' 'Dmaj7/F#' 'E' 'Em7' 'F' 'F#m'
 'G']"
126,The White Stripes,Seven Nation Army,0,['A' 'B' 'C' 'D' 'E' 'G']
