176,Simon & Garfunkel,Mrs Robinson,['A' 'A7' 'Am' 'C' 'D' 'E' 'E7' 'Em' 'G']
177,Simon & Garfunkel,The Boxer,['Am' 'C' 'Dm' 'Dm7' 'Em' 'F' 'G' 'G7']
178,Soul Asylum,Runaway Train,['Am' 'C' 'Em' 'F' 'G']
179,The Smiths,There Is A Light That Never Goes Out,['Am' 'C' 'Dm' 'F' 'G']
180,Cat Stevens,Father And Son,['Am' 'Am7' 'Bm' 'C' 'D' 'D/F#' 'Em' 'G']
181,Toto,Africa,['A' 'B' 'C#m' 'C#m7' 'D' 'D#m' 'E' 'Eb7' 'F#m' 'G#m']
182,Bonnie Tyler,Total Eclipse Of The Heart,['A' 'Abmaj7' 'Am' 'Am7' 'B' 'Bb' 'Bm7' 'C' 'D' 'Eb' 'Em' 'G' 'G6']
183,3 Doors Down,Here Without You,['A' 'A#m' 'C#' 'F#' 'G#']
184,Pixies,Where Is My Mind,['A' 'Am' 'B' 'C#m' 'E' 'G#']
185,Johnny Cash,Hurt,['Am' 'C' 'D' 'F' 'G']
186,John Mayer,Daughters,['Asus4' 'Asus7' 'B' 'Bm7' 'D' 'D#' 'D/F#' 'Dmaj7' 'Dsus2' 'Em7' 'F']
187,Limp Bizkit,Behind Blue Eyes,['A' 'Bm' 'C' 'D' 'E' 'Em' 'G']
188,OutKast,Hey Ya,['C' 'D' 'E' 'G']
189,Linkin Park,Numb,['B' 'Bm7' 'Bsus4' 'C' 'D' 'D/F#' 'Em' 'G']
190,Elvis Presley,Love Me Tender,['A7' 'B7' 'Bm' 'D' 'D7' 'E7' 'F#7' 'G' 'Gm']
191,Led Zeppelin,Stairway To Heaven,['Am' 'Am7' 'C' 'C9' 'D' 'F' 'G']
192,Evanescence,My Immortal,['A' 'C#m' 'D' 'E' 'F#m']
193,Crowded House,Dont Dream Its Over,['Am' 'C' 'C9' 'Csus2' 'E' 'F' 'G']
194,Lou Reed,Perfect Day,['A' 'Am' 'C' 'C#m' 'D' 'D/C#' 'Dm' 'E' 'F' 'F#m' 'G']
195,Gary Jules,Mad World,['A' 'D' 'Em' 'G']
196,Leonard Cohen,Hallelujah,['Am' 'C' 'E' 'F' 'G']
197,Seether,Broken,['C' 'Em' 'G']
198,Parokya ni Edgar,Your Song,['A' 'D' 'E' 'F#m']
199,The Cure,Friday Im In Love,['A' 'Bm' 'C' 'D' 'G']
200,Led Zeppelin,Stairway To Heaven,['Am' 'Am7' 'C' 'D' 'D/F#' 'Dsus4' 'Fmaj7' 'G']
201,Scorpions,Wind Of Change,['A' 'Am' 'B' 'C' 'D' 'Dm' 'E' 'F' 'G']
202,Radiohead,Karma Police,['Am' 'Bm' 'C' 'D' 'D/F#' 'E' 'Em' 'F' 'F#7' 'G' 'G/F#']
203,Limp Bizkit,Behind Blue Eyes,['Asus2' 'Bm' 'Cadd9' 'D' 'Dsus2' 'E' 'Em' 'Esus4' 'G' 'G6']
204,Hoobastank,The Reason,['Asus' 'Bsus' 'C#m9' 'Dsus2' 'E' 'Esus']
205,David Bowie,Space Oddity,['A' 'Am' 'Bb' 'C' 'D' 'D/F#' 'E' 'E7' 'Em' 'F' 'Fm' 'Fmaj7' 'G']
206,Snow Patrol,Run,['Am' 'C' 'F' 'G']
207,Howie Day,Collide,['Bm' 'C' 'F#' 'G']
208,Randy Newman,Youve Got A Friend In Me,['A' 'A7' 'Am' 'B' 'B7' 'C' 'D' 'D7' 'Dm' 'E7' 'Em' 'F' 'G']
209,Evanescence,My Immortal,['Am' 'Bm' 'C' 'D' 'Em' 'G']
210,3 Doors Down,Here Without You,['Am' 'C' 'F' 'G']
211,Evanescence,Bring Me To Life,['Am' 'C' 'D' 'Em' 'Gm']
212,Incubus,Drive,['A' 'A7' 'Asus2' 'C' 'Cmaj7' 'D' 'Em7']
213,Alicia Keys,If I Aint Got You,['Am7' 'Bm7' 'Cmaj7' 'D7' 'E' 'Em' 'G' 'Gmaj7']
214,Keane,Everybodys Changing,['A' 'C' 'Cmaj7' 'Dm' 'Em7' 'F' 'G']
215,Coldplay,Yellow,['C' 'D' 'Dm' 'Em' 'G']
216,R.E.M.,Losing My Religion,['Am' 'C' 'Dm' 'Em' 'F' 'G']
217,Avril Lavigne,My Happy Ending,['A' 'Bm' 'D' 'E' 'Em' 'G']
218,Keane,Somewhere Only We Know,['Am' 'Bm' 'C' 'D' 'Em' 'G']
219,Radiohead,Exit Music For A Film,"['A' 'Am' 'Asus2' 'Asus4' 'B' 'Bb' 'D7/F#' 'Dadd9/F#' 'E' 'Esus4' 'F'
 'Gmadd11']"
220,Jason Mraz,You And I Both,['Am' 'C' 'D' 'Em' 'G' 'Gmaj7']
221,Tamia,Officially Missing You,"['Am7' 'B7' 'Bm' 'Bm7' 'C#dim' 'D7sus' 'Dm' 'Dm7' 'Em' 'Em7' 'F#m' 'G'
 'G7']"
222,Blink-182,All The Small Things,['C' 'F' 'G']
223,Eraserheads,With A Smile,['Am' 'Bb' 'Bm' 'D' 'E' 'Eb' 'G']
224,Michael Jackson,Billie Jean,['Bm' 'C#(7)' 'D' 'F#m']
225,Lynyrd Skynyrd,Free Bird,['C' 'D' 'Em' 'F' 'G']
226,Kelly Clarkson,Breakaway,['Am' 'C' 'D' 'F' 'G']
227,Counting Crows,Accidentally In Love,['A' 'Am' 'C' 'D' 'Em' 'G']
228,Pink Floyd,Time,['A' 'Amaj7' 'Bm7' 'C#7' 'C#m7' 'Dmaj7' 'E' 'F#m']
229,Moonstar88,Torete,['Bm' 'D' 'F#m' 'G']
230,Poison,Every Rose Has Its Thorn,['C' 'Cadd9' 'D' 'Em' 'G']
231,3 Doors Down,Here Without You,['A' 'Bm' 'D' 'G']
232,Sting,Fields Of Gold,['A' 'Bm7' 'Bsus2' 'D' 'Dsus4' 'G']
233,Matt Redman,The Heart Of Worship,['A' 'A/C#' 'A2/C#' 'A7sus4' 'D' 'D/F#' 'Em' 'G']
234,Iaxe,Akoy Sa Iyo Ikay Akin,['A' 'A7' 'Bm7' 'C#m' 'C#m7' 'D' 'Dm' 'E' 'F#m' 'F#m7' 'Fm' 'Fm7']
235,Simple Plan,Welcome To My Life,['Am' 'C' 'Dm' 'F' 'G']
236,Linkin Park,In The End,['C' 'D' 'Em' 'G']
237,The Beatles,I Saw Her Standing There,['A' 'A7' 'Am' 'B7' 'E' 'E7' 'E9']
238,Buffalo Springfield,For What Its Worth,['A' 'C' 'D' 'E' 'G']
239,Green Day,Wake Me Up When September Ends,['Bm' 'C' 'Cm' 'D' 'D/F#' 'Em' 'G' 'G/F#']
240,AC/DC,Highway To Hell,['A' 'D' 'D/F#' 'E' 'G']
241,Radiohead,Fake Plastic Trees,['A' 'A/F#' 'Amaj7' 'Asus4' 'Bm11' 'Dsus2' 'E6']
242,Sum 41,Pieces,['A' 'Bb' 'C' 'Dm' 'F']
243,Rascal Flatts,Bless The Broken Road,['Am' 'C' 'F' 'G']
244,Damien Rice,Cannonball,['C' 'Cadd9' 'D' 'Em7' 'G' 'G/F#']
245,David Bowie,Starman,['A' 'Ab' 'Am' 'Bb' 'Bbm' 'C' 'C7' 'D7' 'Dm' 'F' 'Fmaj7' 'G' 'Gm']
246,Green Day,American Idiot,['A' 'D' 'E' 'G']
247,Green Day,Boulevard Of Broken Dreams,['A' 'A/C#' 'B' 'C' 'D' 'D#5' 'Em' 'G']
248,Damien Rice,The Blowers Daughter,"['A' 'A#m' 'Aadd9' 'B' 'Badd11' 'Bsus2' 'C#' 'C#m' 'D#m' 'E' 'F#' 'F#m'
 'G#m']"
249,Shinedown,Simple Man,['Am' 'C' 'G']
